Víctimas de violencia de género;8.020;994;704;1.307;2.441;681;1.879;1.889;2.768;4.858;938;1.350;3.432;1.588;426;766;358;115;170
Víctimas de violencia doméstica;1.851;237;189;415;500;132;538;394;940;1.106;255;384;1.025;342;123;249;117;32;31
